Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
2	9999	0.18327649573485055	-19.551584	40.030796	4.7810946	-312.18472	4.270212	6.63564	14.781344	-1.0	10.010168	4.874022	17.83204	-0.051088292	1.5585554	-11.044729	0.07147339	0.006066405	-0.0035065971	0.0012794167	0.26716283	0.07709551	-0.008929723	0.0030010706
3	14999	0.3672625853617986	-11.42115	19.101757	1.9225415	-90.03201	-73.52666	103.11714	-1.0	-312.97504	18.39055	1.350774	43.969036	-26.844309	229.427	-18.895685	0.09369	0.073694125	0.0013789288	0.0011202936	0.34649104	0.17142737	-0.009011828	0.0024384889
4	19999	0.5586497375037935	-13.041151	16.725178	3.011424	-76.11629	-138.00111	124.01061	-1.0	-391.5707	15.454025	2.2210102	55.8741	-22.689281	239.06226	-15.665974	0.098349154	0.0928082	0.0018372972	0.0005416851	0.3194486	0.25128824	-0.013700366	0.0014596401
5	24999	0.735753651327557	-18.023695	19.931849	-1.0	-74.74268	-67.52782	96.26782	-1.0	-238.65175	8.875499	2.638008	38.09114	-39.073696	208.72905	-8.904216	0.09810628	0.069310926	0.003675927	0.0012757921	0.2768351	0.17929287	-0.010544222	0.0019007731
6	29999	0.9060075308879216	-4.5492435	9.473441	6.217368	-51.585564	4.7916365	8.456421	27.205347	-1.0	2.41316	2.1898634	36.089775	-47.61015	192.79292	-2.3716648	0.10942718	0.06983369	0.007549391	0.0018349929	0.23796465	0.19217674	-0.0074630342	0.001213433
7	34999	1.0670399664507972	0.23405083	2.4249928	8.020656	-17.444693	7.2192826	9.205349	24.528873	-1.0	-1.4440084	1.6275619	29.570805	-60.73565	299.4687	1.4618374	0.116990134	0.071689025	0.008717152	0.001936817	0.2379773	0.18481703	-0.010343319	0.0018865715
8	39999	1.232738701502482	1.0900526	7.990808	112.78944	-2.0093842	7.7579446	11.23956	25.585003	-1.0	-2.0310996	1.2464213	26.731026	-39.066994	158.05275	1.9666779	0.124453396	0.07741383	0.009238089	0.0019867301	0.26773968	0.21760026	-0.013517705	0.0016924
9	44999	1.3987844130065705	0.72692865	2.205795	6.288047	-1.1961423	6.813699	9.679452	21.167273	-1.0	-1.0255957	1.3418902	35.254364	-43.522923	157.65994	0.96694005	0.13464633	0.1051632	0.0035659245	0.0018780135	0.29770103	0.31684372	-0.014470967	0.0012492021
10	49999	1.5692230044470894	4.186596	28.629211	332.11978	-17.148235	45.78175	131.66974	440.62726	-1.0	-0.34155494	1.2687868	30.612621	-37.491306	151.2004	0.30289263	0.13624968	0.08150418	0.0010504435	0.0014228402	0.30858618	0.28337917	-0.015075903	0.0014030379
11	54999	1.7468171589242087	6.7379847	26.607084	156.4818	-1.0	73.4026	150.37297	474.86795	-1.0	0.11567585	1.2583243	37.421474	-26.498241	147.58607	-0.14405559	0.14721929	0.10846375	-0.0009867596	0.0015094888	0.32472086	0.2817067	-0.01684672	0.0017193514
12	59999	1.9319085170163048	9.26294	38.048695	242.57292	-1.850584	123.597824	185.19409	501.5149	-1.0	0.78406125	1.012431	17.723972	-17.001818	99.21783	-0.8229906	0.14863944	0.11500032	-0.0024416393	0.0019572505	0.33010995	0.23929746	-0.016991401	0.002036924
13	64999	2.212843410902553	28.321697	53.370583	171.61165	-1.9697797	441.22568	148.1476	525.1596	-1.0	1.4723767	0.9031985	17.669228	-18.723145	78.82273	-1.5195483	0.14856575	0.10987499	-0.005081895	0.0013280807	0.33683553	0.20408054	-0.020884918	0.0027216931
14	69999	2.370169090628624	18.801159	46.460453	288.21933	-52.129574	10.601561	14.475621	32.702744	-1.0	2.4225755	0.8325823	20.23263	-22.9458	55.2987	-2.4770966	0.15238348	0.110984094	-0.0031663585	0.0011587737	0.34675372	0.19808711	-0.025022363	0.002790553
15	74999	2.5652961285246745	12.543953	29.897957	164.50359	-1.5255982	166.81413	245.2644	556.181	-1.0	3.1232605	0.60485923	16.412632	-11.981306	25.473116	-3.1748874	0.15115547	0.097248584	-0.004895021	0.0015569237	0.36006913	0.19130635	-0.030766236	0.0030581786
16	79999	2.7529557865858076	8.977619	25.715876	155.81651	-40.730465	122.86568	186.35538	523.0386	-1.0	3.3753757	0.58623147	13.772733	-7.9033594	18.875628	-3.4006538	0.15201326	0.116515346	-0.0060758926	0.0013542868	0.37728763	0.23485734	-0.030579297	0.0028368284
17	84999	2.9763373127248554	13.348413	38.75194	255.59944	-1.2910268	262.06424	250.95992	540.52655	-1.0	3.4367423	0.57039577	17.186949	-8.202177	26.379803	-3.4541633	0.14494549	0.08960231	-0.0049433084	0.0014458227	0.37856743	0.18811248	-0.02910683	0.003145305
18	89999	3.212939110133383	30.027166	76.087425	339.20697	-1.0	315.32074	251.85262	540.9989	-1.0	3.630081	0.5734729	19.171412	-6.4149866	23.72801	-3.6327796	0.14176628	0.07913323	-0.0058077043	0.0016519425	0.38025898	0.17580771	-0.027339881	0.003561598
19	94999	3.381699859764841	63.39643	93.77095	354.32025	-1.0	60.14077	138.40082	469.64322	-1.0	3.91525	0.45936263	12.873092	-4.74665	6.165609	-3.9208238	0.13932082	0.063655116	-0.0073674805	0.0018473227	0.38360515	0.15514204	-0.02543523	0.003116763
20	99999	3.656972043911616	50.56905	106.557526	453.13138	-1.0	415.82138	139.21918	471.7188	-1.0	4.2199407	0.44457835	10.881282	-4.0658584	7.337126	-4.22121	0.13810112	0.052810088	-0.007620555	0.001845697	0.38313037	0.13443647	-0.024900464	0.0030677104
