Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
2	9999	0.15990943915314146	-8.785748	31.590626	13.017867	-192.27542	24.442905	12.899002	35.106018	-1.0	-0.24926306	0.20911846	0.82356507	-0.85104465	0.10699299	0.08271289	0.18649538	0.039219823	-0.007821626	0.0015138651	0.09994828	0.013498254	-0.022585016	0.006234527
3	14999	0.28427750647068023	1.4704002	4.6203456	16.53725	-31.286087	5.926013	8.536971	17.768688	-1.0	0.52135706	0.49541	3.5751696	-2.1066887	1.4908623	-0.7459315	0.22095354	0.054692194	-0.0033868789	0.001316483	0.12958972	0.029034257	-0.039788634	0.0025612013
4	19999	0.41128403021229637	1.4184974	2.9801764	13.18583	-4.803908	6.41583	7.5357237	14.459481	-1.5567929	0.96147615	0.56185013	2.8950067	-1.875191	2.622953	-1.1592647	0.20907788	0.12365485	-0.0017896742	0.0019144532	0.15244906	0.056261737	-0.045293383	0.0029610074
5	24999	0.5381453196207683	0.65861994	6.2071958	12.3890915	-69.54558	3.5747712	6.554457	17.850452	-1.0	1.5671012	0.5027555	3.627416	-6.501121	5.0688014	-1.8089434	0.19806589	0.17253593	0.004646367	0.0012219559	0.15724735	0.07286271	-0.050525747	0.002972438
6	29999	0.6625715184211731	0.7340077	4.2678423	9.062876	-34.49424	5.303337	8.02418	20.617136	-1.0	1.0596544	0.61847353	10.065216	-5.6945086	9.749648	-1.2405281	0.25839248	0.5751277	0.006736467	0.0017611642	0.19239	0.23074147	-0.049229305	0.0028458394
7	34999	0.7869044582711325	-0.8311928	31.71086	7.229129	-521.64624	7.1159883	10.233677	22.534836	-1.0	0.13233662	0.7089999	8.615575	-11.757372	10.4066515	-0.3075042	0.25853065	0.60315686	0.006537349	0.0012674618	0.19891775	0.24395733	-0.045805633	0.0031456698
8	39999	0.919950490395228	1.0445054	2.7452936	7.6945896	-11.983057	6.9907064	8.323299	19.847582	-1.0	-0.6698999	0.66212535	3.4205208	-5.425378	5.3784018	0.4713499	0.24958028	0.55548674	0.0057207556	0.0012553564	0.19763172	0.22276585	-0.04012683	0.003437218
9	44999	1.052626185350948	1.0735571	2.6608121	7.186494	-1.0	6.0871673	8.978745	20.005583	-1.55969	-0.8515047	0.61651134	8.935696	-4.1262345	4.863326	0.6517173	0.3020165	0.7907464	0.009305904	0.0017265255	0.20909777	0.26943383	-0.03496141	0.003423069
10	49999	1.1883971871932348	1.0281177	2.6232283	7.37905	-6.7242823	8.746449	10.012417	22.002466	-1.0	-0.558496	0.57476246	2.706965	-4.5124316	2.843582	0.3811628	0.31196496	0.8354921	0.010391531	0.0014513991	0.21045671	0.27260193	-0.031178892	0.003085976
11	54999	1.322627721031507	1.133181	2.6325812	7.6407824	-1.0	8.572407	9.780956	20.035799	-1.4717252	-0.09041082	0.5319594	1.8644209	-2.4638848	2.0350022	-0.083537966	0.3514621	1.055004	0.0110791065	0.0014888706	0.20811704	0.26139924	-0.028781777	0.002943103
