Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
2	9999	0.15012164347701604	24.75838	48.979984	151.99855	-190.3835	123.90849	1.4499992	126.903595	121.42828	12.518302	6.26293	23.13736	0.06205924	1.0371162	-13.524972	0.060532246	0.0017925741	0.00048945425	0.00075465196	0.36301693	0.10941104	0.012105598	0.0048447736
3	14999	0.28458429528607265	7.9130435	28.730667	38.159397	-67.87558	29.424698	3.921105	37.13938	23.035875	25.644966	1.8067529	30.512445	20.412188	2.9478917	-26.159393	0.070160694	0.004205401	0.002485124	0.0008678122	0.5407113	0.01638766	0.002672386	0.0022515983
4	19999	0.4164057073990504	-0.7543184	42.231663	53.399715	-109.80399	95.325424	6.8230605	109.80663	86.40832	25.63286	1.704552	30.72451	19.231958	4.1906967	-25.845247	0.08738705	0.0048590205	0.0055296198	0.00090844557	0.5486856	0.009587066	-0.0017133828	0.0014963486
5	24999	0.5744115204281277	45.86243	79.37688	330.38852	10.875063	263.65732	51.306557	300.04926	115.27999	21.930107	1.8996094	28.287802	14.4800415	4.9266853	-21.992796	0.09732723	0.0027169043	0.006537703	0.0014377823	0.5246376	0.014219667	-0.0047725453	0.00088933395
6	29999	0.7208428785536024	140.51779	112.98011	393.0392	44.910347	203.73468	65.938705	311.34433	121.42207	19.327326	1.7309927	26.710066	12.781116	4.7586913	-19.347706	0.10919087	0.004221918	0.004293048	0.0021674796	0.48216435	0.016236726	-0.003890157	0.001300018
7	34999	0.9260141009092331	77.63811	48.99518	170.65005	29.387386	429.26007	31.43217	473.14255	362.647	16.977022	1.6339859	22.326654	10.202527	4.212429	-16.962763	0.12073657	0.0046204217	0.003596169	0.0026838481	0.43855605	0.014543599	-0.00020614752	0.0019795091
8	39999	1.1307687652111054	144.23825	146.515	510.09265	35.625504	516.2613	57.801754	595.9856	398.18268	14.977813	1.4646548	19.723312	9.195763	3.5791132	-14.950009	0.12916616	0.0040537254	0.0014802044	0.00370261	0.39834815	0.015859703	0.0059141046	0.0024410607
9	44999	1.3358667027288014	201.57281	171.09793	490.98993	67.313354	552.14667	22.950788	599.12415	528.01294	14.086777	1.2849079	19.040531	7.4632397	2.922725	-14.077271	0.14135566	0.007654655	-0.004448049	0.005100461	0.36334428	0.0111607695	0.009690545	0.0017018922
10	49999	1.540961318347189	624.5445	18.596733	650.57434	608.27496	572.78064	53.808372	612.31006	456.44943	14.512274	1.0738639	17.98961	10.384003	2.421559	-14.5353985	0.1581779	0.005308047	-0.0073780883	0.0044044275	0.362508	0.0089688925	0.013475581	0.0022598652
11	54999	1.7460316486491096	550.945	84.85527	635.8003	466.08975	789.58405	86.809875	842.8292	533.8315	14.947647	0.930206	18.72345	11.013007	1.9366559	-14.958964	0.15920857	0.004663908	-0.0045040445	0.0040610693	0.37547877	0.009689736	0.015197199	0.0017026324
