Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
2	9999	0.13534010072549185	24.431864	32.816525	129.85634	-68.411095	55.40635	25.561838	132.04825	44.559166	12.764303	6.2982345	23.2773	-0.04545897	1.1071368	-13.76822	0.055021442	0.006577479	0.0006323517	0.0007754376	0.3582961	0.0957588	0.035196982	0.009565385
3	14999	0.2892481854889128	-1.2521205	31.200575	27.502872	-102.225716	34.650574	106.21934	141.44221	-165.36087	24.943872	1.5938687	30.323105	20.129063	2.2512445	-25.448637	0.075975746	0.004391337	7.278521e-05	0.00060291216	0.47917813	0.0097362185	0.010140495	0.0059039304
4	19999	0.40786812557114493	22.944843	14.605734	62.236366	1.0210019	96.62327	39.849823	139.8954	46.80689	25.255575	1.5515201	30.10907	19.765154	2.5692737	-25.458893	0.08624948	0.0030700187	6.527157e-05	0.0016002519	0.4653957	0.012495319	-0.006770654	0.0055919765
5	24999	0.5773362001445559	18.753561	8.539362	39.855076	-0.71757036	-9.6213255	86.77625	232.43083	-106.46762	20.879446	2.1819334	28.526402	12.667463	3.1879063	-20.93467	0.09464553	0.002519983	0.0044220327	0.0020900876	0.43739894	0.015433607	-0.021478767	0.003016049
6	29999	0.7394113236665726	45.095425	32.168633	100.69057	8.477204	426.09174	308.89536	757.2029	107.81068	16.43355	1.793989	22.345634	10.652327	3.6900773	-16.445791	0.101884164	0.0042171194	0.005753592	0.0021864874	0.39112148	0.01927103	-0.024829615	0.0013092835
7	34999	0.9390452432632447	374.56445	268.59933	718.8795	41.020638	765.61554	59.902424	829.57306	661.891	14.651489	1.4085901	20.11448	9.73056	3.920754	-14.703839	0.11728198	0.005116242	0.013035199	0.0034312622	0.34652218	0.014517051	-0.025486244	0.0011921455
8	39999	1.1360789779159757	400.46014	339.72177	740.18195	60.738373	827.6476	158.76376	929.32227	359.5698	15.065078	1.3541472	19.127296	10.495441	2.8652656	-15.15171	0.12500758	0.0036710582	0.012916529	0.002053059	0.3232379	0.01146128	-0.024829786	0.0011220924
9	44999	1.336303857697381	598.6984	338.58395	893.89954	124.60001	875.9256	40.08585	933.32184	774.6504	16.818987	1.3700664	20.866398	11.100974	2.2731135	-16.926443	0.13320373	0.0031943836	0.012223763	0.0019498297	0.33543637	0.012456203	-0.025017103	0.0010784594
10	49999	1.5364158319102392	890.4094	110.226814	1041.0399	780.34125	930.56573	149.36272	1131.9143	670.77826	18.66131	1.3112193	22.899311	13.367263	1.9883883	-18.7558	0.13866645	0.003564244	0.011221503	0.0025096566	0.3602096	0.0133432895	-0.022674426	0.0016409898
11	54999	1.7362081241607665	741.3332	182.36462	923.6978	558.96857	1085.783	50.24231	1129.5198	983.67194	20.099442	1.240438	24.422688	15.378162	1.8706326	-20.183554	0.14637779	0.0041626873	0.013391428	0.0020538196	0.38014728	0.011452868	-0.019886587	0.0010777217
