Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
2	9999	0.19088119049866994	5.0903735	13.195676	39.13225	-49.2108	24.282827	31.106052	62.849518	-1.6828324	12.24168	6.1008215	21.954828	-0.050259676	19.549913	-13.263292	0.07300772	0.12584302	0.006089073	0.000483271	0.25557128	0.19260922	-0.0047892514	0.0040595056
3	14999	0.35538271572854785	-8.926638	34.81652	22.743433	-230.0511	19.983717	25.946932	54.685616	-1.677753	23.358282	1.0796784	27.870707	19.796545	13.474578	-23.85543	0.09350463	0.08510365	0.009135202	0.003486504	0.55452317	0.29947695	-0.00038533364	0.0020296331
4	19999	0.521142058968544	5.5500464	8.107488	33.257668	-4.728569	23.53947	30.09379	63.494835	-1.0	21.825266	1.5958511	26.37415	16.054657	11.6030655	-22.03177	0.11313485	0.046795987	0.015832106	0.0016790549	0.6282961	0.2758277	0.00686279	0.0043977965
5	24999	0.6837940253151787	6.877464	10.101433	28.591806	-8.048152	27.503876	34.979847	74.00468	-1.0	17.64584	1.8406476	23.54604	11.925715	9.8520355	-17.732306	0.12132517	0.03166606	0.021871073	0.0032904118	0.58155143	0.22830814	0.021749197	0.0030800467
6	29999	0.8540860121117698	7.370365	9.649877	30.526678	-1.0	51.05387	44.2901	115.55145	-1.0	14.072873	1.2500708	19.73822	9.443918	7.653353	-14.153769	0.13762878	0.046838745	0.025800144	0.0030507653	0.54216784	0.2163746	0.02755332	0.0019701766
7	34999	1.0182856163051393	7.4993634	13.313509	98.95875	-1.0	28.386444	36.042717	76.23131	-1.0	12.408586	0.8148883	15.887063	9.62389	5.790705	-12.480749	0.14051619	0.05167172	0.020200437	0.0040417477	0.5139985	0.1808911	0.029434692	0.0014873351
8	39999	1.179397184451421	8.640686	38.760757	354.22226	-1.0	28.250713	29.477358	60.843193	-1.3798059	11.261753	0.6381779	13.341645	8.852024	4.657771	-11.3294735	0.14221211	0.06221684	0.013211459	0.0034554047	0.5234904	0.19598518	0.031795982	0.0013916605
9	44999	1.3391148416201273	3.7734745	6.323399	17.523209	-1.0	20.13554	25.981236	57.607555	-1.0	10.873986	0.5270481	12.576113	8.944145	4.722599	-10.949503	0.14789289	0.075141124	0.009509253	0.003963684	0.53817916	0.21673729	0.034114797	0.0018666215
10	49999	1.549018286532826	5.4338226	9.17189	40.587914	-1.0	108.56923	130.07562	368.8348	-1.6907556	10.510928	0.47169217	12.0384445	8.7099085	4.716967	-10.579036	0.15539391	0.08750902	0.013153031	0.0044412147	0.557922	0.23743246	0.035714284	0.0018521748
11	54999	1.7055427583720948	12.022699	50.386593	471.7732	-1.0	14.405026	23.701921	56.286987	-1.0	10.226681	0.42487827	11.455501	8.536516	4.6472564	-10.29791	0.16209285	0.088730544	0.01279672	0.0053079156	0.5605993	0.23179248	0.035765223	0.0017891875
12	59999	1.8989523618751103	7.190165	20.944906	240.08087	-1.0	94.839554	120.14094	373.3663	-1.6922976	10.168182	0.38570735	11.258973	8.51593	4.2433724	-10.2304125	0.16663684	0.08708815	0.011325595	0.0037695917	0.5598624	0.23313697	0.037853524	0.0021345608
13	64999	2.059330431951417	12.674109	42.955597	419.7243	-1.6933407	24.75712	31.890991	75.79049	-1.0	10.154917	0.35149157	11.436788	8.774995	4.3043523	-10.211817	0.1768812	0.09585524	0.010299469	0.003705587	0.57866055	0.29730868	0.037874226	0.0022277243
14	69999	2.2487812183300653	14.437587	29.900396	241.16508	-1.6655396	140.31491	185.82411	650.7726	-1.0	9.946277	0.37024525	11.2871685	8.384352	4.1273346	-9.990236	0.18091226	0.08739257	0.006098291	0.0034764246	0.59533954	0.31793433	0.036865123	0.0020023328
15	74999	2.4632634095350903	-6.0475826	163.75	153.79373	-1328.6099	341.0338	341.5426	828.20667	-4.7645617	9.717647	0.40107855	10.937124	8.123922	4.1313405	-9.752053	0.18651739	0.074544355	0.005563595	0.003747819	0.59379345	0.27790105	0.038802486	0.0020125746
16	79999	2.620419700079494	14.252564	28.633839	172.86348	-1.0	16.816788	21.883997	46.261753	-1.0	9.3944	0.47365162	10.920459	7.4098516	4.2980404	-9.436685	0.1949404	0.054293744	0.013189638	0.0050821966	0.59698826	0.25597036	0.040067043	0.0023268468
17	84999	2.791963509851032	26.72208	44.649002	233.61993	-3.3175652	125.304054	85.39339	232.64944	-1.0	9.616984	0.53468513	11.457748	7.460216	4.875761	-9.669307	0.20873569	0.09239077	0.016965069	0.004171112	0.6002801	0.24630423	0.042293794	0.0023283183
18	89999	3.001850350764063	57.925526	68.35747	238.29514	-45.223495	477.2022	511.1617	1399.4794	-8.777214	10.364999	0.66258055	12.362172	8.172397	5.4867764	-10.450281	0.2222999	0.10706839	0.018605852	0.0039176615	0.61735797	0.2692824	0.04439447	0.002396999
19	94999	3.2250069891081914	56.722435	79.90103	278.54208	-10.081351	610.3955	534.0788	1428.7927	-41.719666	11.723708	0.70674485	14.039743	8.592653	6.7143946	-11.821559	0.21699072	0.08373595	0.020932233	0.0035503637	0.6267889	0.27679902	0.047960524	0.0028528837
20	99999	3.422103646463818	55.85098	53.220512	194.03477	-1.1851673	358.51266	385.18787	1226.514	-1.0	11.61455	0.7581636	14.008861	8.541236	7.156911	-11.637905	0.2131982	0.07200921	0.017753309	0.003400489	0.6527223	0.30924112	0.0545143	0.002763554
21	104999	3.6497786903381346	74.027176	61.460316	222.66579	-1.0	500.3414	589.10345	1232.1855	-256.20932	10.806446	0.7800532	13.328763	6.999917	7.156331	-10.800238	0.20541926	0.050635435	0.012646334	0.0032819628	0.6662448	0.32373887	0.058287226	0.0025701823
22	109999	3.8487488828102747	86.48416	76.647766	238.4846	-1.0	415.96176	449.23724	1108.2612	-1.0	10.308978	0.7658939	13.119047	7.2920475	7.18458	-10.275662	0.19881597	0.039876662	0.010393974	0.0031763217	0.6653259	0.335637	0.061342683	0.0028547016
23	114999	4.0722520901097194	84.06276	100.590004	317.3623	-6.51761	543.0399	451.68433	1267.7864	-1.0	10.206432	0.7382475	12.344404	7.3940525	7.6615295	-10.149267	0.19441934	0.032243304	0.008553026	0.0035419133	0.6663124	0.33645082	0.063995875	0.0029093695
24	119999	4.28523492720392	97.36625	112.94959	520.77527	-1.0	516.3097	541.77704	1448.5109	-1.0	10.517947	0.708671	12.760978	7.1029577	6.4963756	-10.448381	0.19234434	0.029499669	0.0045810686	0.0030234647	0.66610074	0.3293328	0.063629635	0.0027737021
25	124999	4.498260631693734	52.93019	323.90594	409.2411	-1116.734	581.01514	594.5361	1392.2085	-1.0	10.15734	0.88149047	12.926054	6.508755	6.615041	-10.0388	0.19376877	0.03161877	0.0049459175	0.0030036562	0.66282004	0.32271785	0.06493839	0.0029429297
26	129999	4.727979334129228	90.452805	117.33081	463.74722	-1.0	720.75214	544.5654	1435.8827	-1.0	9.544939	0.94872427	12.330019	5.3883653	7.050019	-9.409147	0.19186802	0.022364119	0.0050727236	0.002938546	0.650529	0.3007932	0.064148694	0.0028197663
27	134999	4.970737033751276	165.5868	215.9918	802.6432	-1.0	844.20374	475.6474	1339.0125	-1.0	9.5489645	0.9398173	12.490094	6.1444983	6.602381	-9.414465	0.19592653	0.01925391	0.004016535	0.00311488	0.63506943	0.27723992	0.06246018	0.0026939157
28	139999	5.217921333975262	131.67572	164.41023	452.86612	-1.0	922.40234	533.1026	1430.188	-1.0	10.050794	0.964345	13.575156	6.3571086	6.5364733	-9.906161	0.20090687	0.022104692	0.0011540164	0.002773762	0.6328141	0.2809478	0.061882038	0.00279952
29	144999	5.447150691217846	186.34503	230.74721	672.88776	-1.0	755.39197	553.9336	1449.5978	-1.0	10.811785	0.95784223	13.965185	7.0430064	6.5071297	-10.65143	0.20017064	0.015485636	-0.00068217557	0.0027707398	0.62810105	0.2624875	0.060677685	0.002849797
30	149999	5.712328194975853	161.31691	162.17513	467.29013	-1.0	1154.844	441.76077	1465.9814	-1.0	11.815773	0.94859284	14.929609	8.071238	6.2810764	-11.632858	0.19994219	0.0076653687	-0.001284064	0.0027445534	0.6081451	0.21406062	0.060699683	0.0028419388
31	154999	5.971362122827106	169.9416	174.42552	492.90747	-1.0	1023.2264	458.6116	1474.4478	-1.0	12.558986	0.8547943	15.360896	9.505216	6.364974	-12.345563	0.19802986	0.007314203	-0.0029637646	0.0032786508	0.59592205	0.19158083	0.06229592	0.0028997678
32	159999	6.2171457002560295	229.14171	283.2575	871.37103	-1.0	965.11096	641.2532	1455.0365	-1.0	13.190028	0.8813704	16.029785	9.794	6.51862	-12.957802	0.19801426	0.0069832182	-0.006605055	0.0029110885	0.59695965	0.2035809	0.06338099	0.0028850778
33	164999	6.487569533851412	216.16608	338.07938	1350.772	-1.0	1166.2577	433.7098	1406.0481	-1.0	14.051881	0.8767538	16.842264	10.832321	6.4013014	-13.80175	0.1990163	0.0065649273	-0.008541401	0.0030481606	0.595777	0.20748119	0.0650464	0.0029277585
34	169999	6.732048479517301	312.0766	419.33316	1335.3042	-1.0	927.6789	621.7865	1430.665	-1.6772822	14.843431	0.89948356	17.976086	11.600815	6.8769937	-14.565256	0.19654667	0.0053220405	-0.008736418	0.0028017159	0.5796044	0.16973934	0.06594803	0.0028679257
35	174999	7.008629108932283	344.23187	345.29803	1090.7393	-1.0	1250.69	419.0809	1433.6356	-1.0	15.733836	1.0166115	19.1822	11.807641	6.365207	-15.432958	0.19379406	0.005140752	-0.010616533	0.0031222766	0.5764726	0.16444787	0.066379406	0.0027947696
36	179999	7.282135130895509	294.0054	327.54144	887.92316	-1.0	1202.6027	406.62564	1408.5308	-1.0	16.996452	0.9165402	19.753242	13.601617	6.3741946	-16.6735	0.19159535	0.0050598728	-0.015207547	0.0030147494	0.57457197	0.15808778	0.06875181	0.003042613
