Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
2	9999	0.18545515696207682	0.0592857	25.048628	90.09342	-65.80592	47.264908	33.547054	66.09424	-35.01799	11.741353	5.890015	21.326584	0.05832431	9.969287	-12.754197	0.09178884	0.22281316	-0.0031959233	0.00062224525	0.28560808	0.3283834	-0.0477326	0.010686055
3	14999	0.33444209509425693	-10.735195	35.89666	28.286959	-179.96048	31.766901	32.795467	67.10228	-1.0	22.010769	1.117402	25.912014	17.63161	9.038671	-22.515074	0.10005801	0.07701517	0.00019840426	0.001784619	0.68250203	0.23672149	-0.047144096	0.004840104
4	19999	0.479074253572358	11.057396	20.109398	115.6442	-40.554836	30.756018	38.929398	82.86137	-1.0	20.312466	1.6926606	25.840916	14.285595	8.744222	-20.555178	0.117691346	0.04518127	-0.0022440194	0.0011881624	0.75515515	0.18184109	-0.03700966	0.0018388182
5	24999	0.6387264518605338	11.616174	22.834366	78.24299	-31.68948	36.424927	68.52833	114.83311	-73.03815	15.759215	2.1066244	22.5275	8.649019	7.2368712	-15.840965	0.13720274	0.05252574	0.0026146215	0.00298508	0.7446283	0.16115776	-0.039648283	0.0018586556
6	29999	0.794210520585378	14.7054615	49.629593	391.2647	-58.83746	69.70583	95.125206	267.27292	-1.0	10.9417095	1.7061507	17.455906	5.1645947	7.149629	-10.983401	0.1650297	0.060768425	0.009047451	0.0017565787	0.75925523	0.1587376	-0.036664654	0.0034048336
7	34999	0.9519747663868798	9.376951	13.672441	69.941414	-1.5577533	57.597675	87.24305	230.44006	-1.0	9.729874	1.1722693	13.78248	3.7225082	7.4614463	-9.815555	0.17990123	0.060207047	0.005275068	0.0029919785	0.7695785	0.14960277	-0.020694327	0.0049818195
8	39999	1.1635011688205932	12.272677	17.79699	64.60438	-1.0	243.5043	213.61328	490.99356	-1.0	9.525228	1.0371972	13.806052	6.093234	6.185723	-9.590273	0.18311408	0.064707324	-0.003899878	0.0019921917	0.77005976	0.116170585	-0.0090467315	0.0025631194
9	44999	1.3175883585214614	17.44437	34.060112	187.12477	-1.0	50.272057	66.80638	215.68008	-1.0	9.517452	0.9233223	12.900906	5.7530937	6.723437	-9.589792	0.18893364	0.08429278	-0.003094001	0.0031477693	0.7935005	0.13222514	-0.0040343627	0.0013615602
10	49999	1.466201670103603	10.914209	16.907576	81.16882	-1.0	24.511768	31.813822	77.609215	-1.5503029	9.965496	0.8317406	12.652507	5.974817	5.0784674	-10.048973	0.19659474	0.09385908	0.0011138286	0.002145396	0.82043475	0.15568398	-0.0053321775	0.0012566176
11	54999	1.6935347464349535	8.9984	12.987487	59.759296	-1.0	261.5683	201.23666	456.0788	-1.0	10.652524	0.7225226	13.013595	7.493424	4.8218436	-10.733166	0.21059786	0.093727455	0.0015102022	0.002595554	0.8392557	0.12711786	-0.007049508	0.0015573892
12	59999	1.8409113835626179	8.651244	14.1390705	94.91928	-1.0	21.418373	27.488464	57.236435	-1.0	11.172385	0.64234746	13.013381	8.667421	4.8945646	-11.244586	0.21639849	0.09401559	0.002323292	0.0033630668	0.8579215	0.11965762	-0.011273188	0.001494994
13	64999	2.035028939710723	12.180809	17.207132	59.703587	-1.0	186.45328	205.1242	529.61633	-1.0	11.484551	0.5839846	13.790405	8.970931	5.461857	-11.54914	0.21796377	0.093266785	0.005014706	0.0039724438	0.8740004	0.12870292	-0.013479068	0.0011585796
