Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
2	9999	0.1889749081267251	58.302483	133.89471	468.6252	-83.20696	342.6646	544.924	1237.5822	-639.69336	1.3118848	1.1528088	4.222443	-1.7205877	1.5047207	-1.5353855	0.69632316	2.3626745	0.025000112	0.005264703	0.17900793	0.33950242	0.0055435514	0.0011535264
3	14999	0.32673601263099245	219.69205	451.92697	1264.4634	-595.702	346.71255	438.21716	1084.6863	-1.0	5.5162625	1.5485619	9.750808	1.935712	1.4185293	-5.9054546	0.58502686	1.9001739	0.018218745	0.0013198766	0.21933852	0.17085734	0.0077936384	0.0011560962
4	19999	0.4793272842963537	42.03827	270.16602	454.45486	-768.77637	243.07608	549.50806	1139.1842	-854.5915	8.532346	1.3398697	14.948164	3.6506076	3.489871	-8.966804	0.4995745	1.49463	0.0153701175	0.001097182	0.2364354	0.111787856	0.0040191906	0.0017354001
5	24999	0.6384692486789492	-77.75557	635.31995	1057.5422	-1629.7302	486.36353	394.02167	1073.8131	-1.0	8.311158	1.7236819	13.2677965	0.53763455	6.3839726	-8.710042	0.44213173	1.1565944	0.015230982	0.0014077122	0.23447666	0.11165305	0.0005067768	0.0020585551
6	29999	0.7873091963264677	145.23665	131.58472	508.189	-1.0	182.5638	709.9131	1262.6399	-1509.0269	5.966622	1.7951792	11.886811	-2.3370574	7.852171	-6.331525	0.4231082	1.1075922	0.01805881	0.00093570986	0.23096746	0.15656053	0.00030357676	0.0027657629
7	34999	0.9441222438547346	198.8145	332.53354	1275.2539	-1.0	279.73856	325.33676	887.8967	-1.0	5.2497554	1.9314283	11.669479	-1.931005	11.029843	-5.6290154	0.3516593	0.73318136	0.015566551	0.002398535	0.22431834	0.15820853	-0.0033641297	0.0020493986
8	39999	1.0583249000708261	171.76372	188.1705	499.05228	-1.0	54.598915	58.335247	142.81418	-1.0	4.395115	2.0808856	10.751294	-2.635067	9.824804	-4.907442	0.36483732	0.8265456	0.014699173	0.001240826	0.22693238	0.17417847	-0.0032077583	0.0019997011
9	44999	1.178525489370028	11.766279	25.961254	160.97235	-21.832962	-17.69326	21.635445	-0.18449491	-66.73074	5.3688025	2.1333025	11.673437	-3.5459073	11.7298565	-6.3648496	0.40733695	0.9223289	0.014544482	0.0019934904	0.22985932	0.15964472	0.0022834933	0.0034337812
10	49999	1.2904057262341182	3.655621	13.754777	29.21264	-42.003124	26.22948	31.764164	99.45226	-1.0	4.5233407	1.9340179	9.831688	-3.0144281	6.260907	-5.135406	0.37433958	0.808119	0.010127934	0.0024943752	0.23414	0.19546875	0.0076176673	0.0024718805
11	54999	1.3973796357048882	-29.53925	211.32469	40.044468	-1301.596	30.72988	38.79019	115.434814	-1.0	3.5224614	1.8087869	9.786589	-5.3447814	8.403622	-4.067323	0.34093434	0.6665651	-0.001451559	0.0055068587	0.22757837	0.16270834	0.011539871	0.002291258
12	59999	1.5221355221006605	17.602629	154.40785	635.39996	-507.8641	50.698616	91.018524	321.0574	-1.0	3.6308546	1.8407505	10.156125	-3.9987843	14.252975	-4.129528	0.32282963	0.6376225	-0.01528642	0.0023071168	0.23409273	0.22016299	0.008183533	0.003491708
13	64999	1.6283963140514162	24.320642	68.093796	535.8915	-1.0	14.168185	18.606594	38.52733	-1.0	4.0247254	1.9326892	10.458215	-3.533051	10.188087	-4.5322933	0.33268195	0.7032221	-0.0015713288	0.005387077	0.24068804	0.23815072	0.0012849261	0.0031015938
14	69999	1.735788102944692	11.216268	19.175327	201.3754	-1.0	34.31765	31.325914	73.40137	-1.6787415	3.9967632	1.9147918	10.085413	-16.53378	17.231995	-4.4881124	0.3183251	0.5956187	0.010679724	0.002055023	0.24788296	0.23815255	-0.0027490458	0.0029861797
15	74999	1.8560274900330438	9.210991	13.7213545	63.02052	-1.0	9.895087	63.766567	66.11483	-156.91203	4.0565968	1.8676614	9.918623	-2.7973578	12.289587	-4.48537	0.34386256	0.79687536	0.011690268	0.0019347165	0.25747973	0.2572453	-0.006817665	0.0027696125
16	79999	1.9784035825067097	9.745822	13.82253	48.610085	-1.5425223	64.54643	108.83942	375.77515	-1.0	3.7190394	1.9078094	17.813736	-13.343525	22.713846	-4.1640406	0.33429155	0.75943154	0.011002414	0.001864322	0.26977843	0.29283342	-0.010973462	0.0028941426
17	84999	2.0901945259835983	15.3650055	28.219934	170.60463	-1.0	33.845776	58.71044	194.76141	-1.0	3.3896601	1.8874372	10.013297	-3.2807508	8.6415	-3.8251202	0.38993016	1.1153481	0.011252208	0.0016590875	0.29536125	0.43945202	-0.010924791	0.002872904
18	89999	2.205989167955187	17.971346	64.614136	640.97955	-1.0	32.466602	34.774906	81.044266	-1.0	3.22171	1.9123017	23.181448	-3.8025975	16.756113	-3.5918856	0.45794374	1.4361097	0.011044289	0.001711706	0.314473	0.5011554	-0.011353695	0.0029810658
19	94999	2.319984639949269	10.489392	15.572766	52.78107	-1.0	28.546192	30.633547	69.245026	-1.0	3.1425471	1.9203045	15.772178	-4.6632557	12.805651	-3.5860195	0.41912997	1.3510424	0.008894689	0.0016772258	0.30482095	0.432102	-0.009743679	0.0032712442
20	99999	2.4343737683031295	9.363122	14.6057415	51.63922	-1.0	24.563015	26.246664	65.64255	-1.424153	3.2796524	1.9576982	9.580285	-4.1525025	8.264849	-3.684452	0.4050834	1.2477552	0.005542596	0.0017907697	0.30448028	0.4039827	-0.0072466857	0.0031083548
21	104999	2.5479024021493064	11.129768	27.780674	67.71374	-204.55844	31.807663	43.2104	121.49699	-1.0	3.1955202	1.9542097	9.168158	-4.2093277	10.990116	-3.6157296	0.41327775	1.3352796	0.0053993477	0.0018722286	0.30506903	0.39546087	-0.005605916	0.0031094083
22	109999	2.6657427600357266	11.738215	15.9928665	54.529797	-1.0	39.655155	53.35187	122.64376	-1.0	3.2216532	2.033555	13.863527	-4.1498313	11.37575	-3.6515212	0.40435803	1.2488219	0.00340644	0.0020075892	0.30538246	0.37738022	-0.006374166	0.00299915
23	114999	2.7782373341586855	10.480569	15.326779	60.96659	-1.0	21.82105	28.141573	60.762264	-1.0	3.6983519	1.988466	11.319533	-3.6145794	8.794761	-4.0427594	0.3766911	1.1323011	7.85325e-05	0.0027316902	0.30029148	0.34002504	-0.0038522233	0.0030697708
24	119999	2.9032768164078395	9.704526	13.403962	74.50602	-1.0	136.40237	317.12323	1077.8402	-1.0	4.4403586	1.9339813	10.566201	-2.8204412	8.3288765	-4.758844	0.39561227	1.2466732	-0.0012316079	0.002191127	0.31025022	0.37610257	-0.0006005005	0.0029791507
25	124999	3.045765799880028	36.167053	133.6725	1002.5918	-1.0	146.1038	226.71704	716.0752	-1.0	5.1915298	1.9304843	21.24067	-6.9512973	20.722452	-5.6050234	0.4263458	1.4018866	-0.001553471	0.0018755924	0.31183884	0.3718066	0.0013123226	0.002867347
26	129999	3.153090742495325	60.88039	186.59842	1021.9535	-1.688964	28.93623	30.223934	68.53323	-1.0	5.8521175	1.7713209	20.24635	-1.9315112	16.196278	-6.274625	0.4194791	1.4065784	-0.0014520617	0.0019494073	0.31271976	0.3766838	0.002315089	0.0027932553
27	134999	3.26164886103736	30.325329	104.28899	659.3313	-1.0	21.178818	27.196775	57.62583	-1.0	5.7866893	1.821888	11.591978	-1.2815373	10.374846	-6.253498	0.34990034	1.0776293	-6.003717e-05	0.0016185468	0.30306703	0.30225587	0.003426762	0.0027731848
28	139999	3.3710978556341593	18.833824	72.64154	628.89777	-1.5848529	23.552942	30.195145	66.20252	-1.0	6.6389775	1.8661009	16.37679	-1.7432318	15.912719	-7.129501	0.4417853	1.5245912	-0.0015328045	0.0019987058	0.3188977	0.37052727	0.0056853844	0.0027943857
29	144999	3.5191022217935988	65.28443	148.79965	600.5415	-1.0	481.0645	614.0015	1519.0793	-1.0	8.0401325	1.8462216	13.531423	-0.06463508	9.463042	-8.55752	0.38774785	1.2687159	-0.0036295296	0.0018154366	0.31332	0.33132058	0.0065547875	0.0029498085
30	149999	3.6892020602358713	288.33322	371.13184	1264.1611	-1.0	735.69763	634.8237	1487.7927	-1.0	9.455587	1.92087	15.181445	0.98342687	13.364295	-9.967007	0.42377865	1.4322587	-0.0048196707	0.0021074312	0.3280997	0.41344616	0.0023218186	0.0028925338
31	154999	3.857214212682512	329.18057	474.41125	1293.5392	-1.0	713.4142	697.74896	1489.8942	-1.0	12.374587	1.6860378	16.575727	4.870268	193.28046	-12.88428	0.3979398	1.3312662	-0.0082849255	0.0021785018	0.33201656	0.44262096	-0.00025205768	0.0027559516
