Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
2	9999	0.1988936984539032	-32.220043	72.9023	4.64556	-441.70782	-3.0354881	2.1357985	-1.0	-6.224739	9.193931	4.273832	16.113567	-0.015385911	1.2397728	-10.227235	0.051951624	0.006229661	0.0009965221	0.00045344356	0.270652	0.06657199	-0.020164298	0.004212074
3	14999	0.3694176944096883	-26.424381	27.570778	3.9471433	-90.26851	-94.84483	100.376526	-1.0	-233.49007	16.029558	0.7568309	18.404613	13.109289	4.564979	-16.56845	0.07271324	0.0053992206	0.00028205873	0.0005757419	0.34218788	0.014896968	-0.01280004	0.0018430797
4	19999	0.5516142291492886	-17.951351	23.210009	3.6957762	-82.13201	-85.23131	83.28505	-1.0	-226.79675	12.775803	1.8781817	17.509651	7.115216	4.129141	-13.039584	0.08199705	0.004816485	0.00019016884	0.0010033695	0.31398115	0.013806124	-0.009622363	0.0011726858
5	24999	0.7474571920765771	-32.43621	98.58787	-1.0	-610.6094	-257.25015	368.48526	-1.0	-1059.4741	6.2873316	2.3222444	12.759229	-0.22397617	3.678354	-6.3980637	0.09126454	0.00812038	0.0012051895	0.0013236215	0.29154748	0.017150488	-0.008280404	0.00088695914
6	29999	0.9086976156632105	-6.7407923	38.596405	6.95389	-303.35406	5.288347	8.641143	21.210602	-1.473598	0.06378262	1.5575614	6.06671	-4.885247	3.5543137	-0.13240777	0.09920647	0.018063013	0.0017803471	0.00136656	0.2672946	0.03245409	-0.007957013	0.0009778611
7	34999	1.0698869297239515	0.7840684	2.2342799	7.2690835	-1.0	6.4278846	8.311862	20.954418	-1.0	-2.0085425	0.898578	2.5260963	-5.238502	3.356022	1.8872128	0.106900975	0.015189209	-0.0010078144	0.0016788853	0.28101084	0.032542896	-0.007399123	0.0013007189
8	39999	1.2287229053841697	0.622246	2.5520132	11.3318815	-2.0870585	6.713338	10.569148	27.824205	-1.0	-1.6343397	0.8583791	1.1579022	-5.3023014	2.2644007	1.4691132	0.11570458	0.014789307	-0.001510554	0.0015236804	0.30962506	0.030565087	-0.0009489768	0.002993622
9	44999	1.3900626017649969	1.3036231	8.909389	140.02472	-23.969522	6.0335417	7.2659554	17.28428	-1.0	-0.43801817	0.73341215	4.7542076	-13.820492	10.805751	0.26778048	0.12694895	0.043970842	-0.00011977682	0.0026923441	0.3448518	0.10638732	0.003706463	0.0018648974
10	49999	1.5551692940129174	0.010093728	8.655508	24.827827	-115.799324	6.8655534	9.835196	21.746653	-1.0	0.00078264315	0.59846526	5.434107	-7.8425035	11.526049	-0.124734916	0.14404814	0.065901265	0.004283181	0.0019111586	0.3767699	0.19543315	0.005201594	0.0018356816
11	54999	1.7308582401275634	5.64505	24.31919	170.89151	-1.0	40.60487	81.72908	270.02652	-1.0	0.13194521	0.60875845	6.4165916	-5.8642817	12.564756	-0.2304756	0.15671454	0.07079885	0.0008903198	0.0013280363	0.39462477	0.2519492	0.0054879137	0.0018043804
