Epoch	Timestep	Runtime_in_h	Avg_Epi_Ret	Std_Epi_Ret	Max_Epi_Ret	Min_Epi_Ret	Avg_Eval_ret	Std_Eval_ret	Max_Eval_ret	Min_Eval_ret	Avg_Q_val	Std_Q_val	Max_Q_val	Min_Q_val	Critic_loss	Actor_loss	Avg_Actor_CurFE	Std_Actor_CurFE	Avg_Actor_ExtMemory	Std_Actor_ExtMemory	Avg_Critic_CurFE	Std_Critic_CurFE	Avg_Critic_ExtMemory	Std_Critic_ExtMemory
2	9999	0.18910322149594624	-26.714933	48.9575	2.1905897	-286.0042	-5.064851	7.193596	0.89479345	-16.386005	9.733823	4.7429447	17.64722	0.035536375	10.800774	-10.747711	0.066063136	0.17843945	0.009043512	0.0010375374	0.24011369	0.23709637	0.08255077	0.023381226
3	14999	0.3294938119252523	-19.341162	37.398056	2.3288572	-235.80197	-7.476031	15.207447	-1.0	-52.409424	17.47155	0.84747195	20.065609	13.260973	6.433771	-17.995163	0.070956156	0.05787047	0.011943967	0.00090328156	0.79759866	0.24901995	0.06662372	0.012684609
4	19999	0.48591521395577325	-20.463669	29.905338	-1.0	-123.46496	-40.384346	47.60232	-1.0	-114.47696	13.752695	2.0958347	19.597424	7.0004163	7.536544	-13.999459	0.09472766	0.03831638	0.010559689	0.0012148926	0.8784992	0.21497674	0.05011211	0.0052380604
5	24999	0.6370115751690335	-10.183462	15.097781	0.37363344	-90.17719	-41.727955	74.728294	-1.0	-249.69568	7.3277545	2.0803409	13.537308	0.776597	6.544693	-7.4326696	0.10808758	0.04069324	0.006622513	0.002118731	0.8430625	0.20266968	0.04531372	0.003977685
6	29999	0.78354234735171	-1.1070253	6.0633435	8.52387	-45.52226	7.34007	11.039506	25.49598	-1.0	2.4885685	1.3276395	7.669062	-1.2917597	4.0096693	-2.5845225	0.12518044	0.05242878	0.00015195532	0.001887889	0.84309417	0.2615118	0.038458593	0.0042372234
7	34999	0.9334552363554637	1.1506959	9.938966	159.5133	-3.4323723	4.9365525	7.552877	19.209288	-1.0	1.0289077	0.68737996	3.2148356	-1.6133965	2.356124	-1.1726778	0.13988438	0.057402585	0.001644454	0.0021281964	0.8342654	0.25198993	0.03719402	0.0034602433
8	39999	1.0817305825816261	-4.3714037	80.228546	129.26547	-1118.799	5.7859106	8.434431	18.550488	-1.0	0.43027902	0.72103596	3.2133737	-2.3880413	2.0780327	-0.53103894	0.1510022	0.06660716	0.005485305	0.0029346906	0.8372338	0.24635565	0.0439002	0.0042803427
9	44999	1.2334112624989615	2.4169297	13.672613	132.46323	-2.1192105	7.3477507	10.230029	20.561897	-1.0	-0.09662815	0.59523803	1.8713398	-2.4871957	1.734743	-0.01823367	0.16261213	0.08595087	-0.0033378415	0.0026657202	0.8420291	0.20537016	0.05428771	0.003889957
10	49999	1.3806685933801863	3.7874472	17.892109	176.2927	-2.4265711	8.18555	9.821822	23.023268	-1.0	0.3685666	0.5937845	2.1344967	-1.7049261	1.7193567	-0.48730356	0.1752485	0.08729654	-0.007277826	0.0024469448	0.8480947	0.1686743	0.052790076	0.0039455667
11	54999	1.526510067317221	5.1851163	15.311526	88.51718	-17.791328	5.992642	9.038463	24.29401	-1.0	0.8360628	0.6058164	2.8761635	-1.444269	1.9576594	-0.9452978	0.19187415	0.07922466	-0.008590498	0.0022007145	0.87635595	0.18529886	0.047233924	0.0036629376
12	59999	1.682181282043457	1.7124662	12.677461	110.47286	-53.08434	39.13764	102.09068	344.36444	-1.0	1.1622602	0.6381442	3.1582146	-1.2621182	2.6418138	-1.262308	0.20738164	0.08607288	-0.007402659	0.0029467125	0.90089357	0.22658908	0.042989925	0.00305603
13	64999	1.8400494335095088	1.5549816	5.075591	53.61716	-24.052101	46.22556	125.52762	422.1103	-1.0	1.2200228	0.6040923	3.3494654	-1.5133659	2.435359	-1.2955102	0.22002646	0.08864011	0.00072118576	0.0024910958	0.9263119	0.22663899	0.043969214	0.0031972975
